frame_idx,mean_Y,pct_under,pct_over
0,85.0759,18.4158,1.5239
1,85.0750,18.4158,1.5239
2,85.0750,18.4158,1.5239
3,247.2229,0.0000,88.6324
4,153.2448,0.0126,0.0009
5,153.3951,0.0139,0.0221
6,153.3317,0.0764,0.0056
7,152.8442,0.1102,0.0208
8,152.2670,0.1328,0.0369
9,151.0708,0.1845,0.0525
10,149.9753,0.2188,0.0534
11,148.7386,0.2873,0.0851
12,147.5139,0.3034,0.1541
13,146.1140,0.3424,0.1519
14,145.0771,0.3876,0.2539
15,145.1418,0.3811,0.2487
16,144.9183,0.3880,0.2500
17,144.9013,0.3837,0.2483
18,145.3214,0.3568,0.2500
19,146.0320,0.3312,0.3806
20,145.1102,0.3520,0.2569
21,146.6788,0.1888,0.9106
22,147.6255,0.1840,1.0347
23,126.8544,0.0000,4.7049
24,199.0255,0.0000,33.1797
25,213.5587,0.0000,38.4362
26,219.3528,0.0000,47.6037
27,182.9369,0.4870,28.1549
28,190.5048,1.4236,28.4839
29,229.7271,0.0000,68.0621
30,229.6698,0.0000,62.9271
31,231.8916,0.0000,65.5386
32,228.2709,0.1827,64.2344
33,219.0603,0.2218,56.9436
34,222.4257,2.1098,68.0217
35,211.0247,4.0213,48.9045
36,207.4304,9.1172,64.2609
37,247.8284,0.0000,94.5391
38,217.2508,0.0000,66.0859
39,193.6852,0.0000,41.6280
40,250.3991,0.0000,97.3082
41,215.9756,0.0000,51.1480
42,213.7850,0.0000,51.4284
43,213.0687,0.0000,52.1610
44,213.0209,0.0000,52.1259
45,213.1822,0.0000,50.9431
46,213.6076,0.0000,50.7969
47,213.6390,0.0000,50.4809
48,216.2903,0.0000,50.9896
49,215.7605,0.0000,50.6337
50,219.7227,0.0000,51.2161
51,219.1770,0.0000,51.3832
52,219.1503,0.0000,51.2201
53,214.3279,0.0000,50.3273
54,209.1590,0.0000,50.8724
55,213.2367,0.0000,51.7274
56,218.6648,0.0000,52.4670
57,217.3663,0.0000,51.5143
58,214.2774,0.0000,51.5365
59,209.6480,0.0000,50.5903
60,209.0643,0.0000,49.4397
61,207.6301,0.0000,48.2648
62,207.4818,0.0000,48.2943
63,206.8522,0.0000,47.8364
64,210.3641,0.0000,48.6480
65,217.1861,0.0000,51.4332
66,223.1201,0.0000,59.8247
67,233.5954,0.0000,72.1068
68,243.9538,0.0000,87.6480
69,243.3940,0.0000,88.5447
70,0.0000,100.0000,0.0000
71,1.4079,97.9288,0.0000
72,4.3420,96.2409,0.2296
73,5.9760,95.9896,0.7383
74,6.1760,95.9076,0.6489
75,6.1152,95.9366,0.6063
76,6.0450,96.0095,0.7422
77,6.0175,95.9714,0.5877
78,5.9564,96.0326,0.6007
79,5.8704,96.1385,0.7101
80,5.8581,96.0903,0.5651
81,5.8110,96.1037,0.5508
82,5.7295,96.2027,0.6319
83,5.7060,96.1480,0.4926
84,5.6392,96.1793,0.5017
85,5.5678,96.2305,0.5404
86,16.1863,69.8086,0.0000
87,17.0971,68.7109,0.0000
88,16.0086,67.6532,0.0000
89,15.7691,64.6497,0.0000
90,17.2680,61.8663,0.0000
91,17.7306,61.6146,0.0000
92,19.0198,57.2791,0.0113
93,19.4511,58.3273,0.0998
94,20.0775,57.4544,0.0985
95,19.8878,56.2383,0.0000
96,19.9792,57.0799,0.0004
97,19.8258,57.2947,0.0000
98,19.5184,57.1372,0.0000
