frame_idx,mean_Y,pct_under,pct_over
99,19.6271,57.0629,0.0000
100,24.0588,54.5217,0.0000
101,28.3088,52.0230,0.0000
102,35.5552,46.5525,0.0000
103,40.9416,46.1688,0.0000
104,41.2478,45.1445,0.0000
105,39.3995,44.4926,0.0000
106,38.2988,43.7674,0.0000
107,36.4277,44.3446,0.0000
108,36.9628,42.4132,0.0000
109,37.0934,40.7370,0.0000
110,38.1995,38.8537,0.0000
111,39.2349,37.8520,0.0000
112,41.5641,36.2057,0.0000
113,43.7507,32.9266,0.0000
114,46.0998,32.6688,0.0000
115,48.9980,29.8442,0.0000
116,51.2898,27.5091,0.0000
117,54.6064,26.2148,0.0000
118,56.1684,25.8164,0.0000
119,47.0086,0.5699,0.0000
120,47.4433,0.5226,0.0000
121,49.4749,0.4397,0.0000
122,49.7065,0.5117,0.0000
123,50.2396,0.5208,0.0000
124,50.4613,0.2600,0.0000
125,51.0115,0.2743,0.0000
126,52.7655,0.6437,0.0000
127,57.0526,0.6662,0.0000
128,56.8841,0.6801,0.0000
129,61.1422,0.7522,0.0000
130,61.7592,0.7522,0.0000
131,63.6900,0.7734,0.0000
132,64.5347,0.7808,0.0000
133,64.1743,0.5694,0.0000
134,65.1322,0.5577,0.0000
135,63.5504,0.6302,0.0000
136,64.5771,0.5621,0.0000
137,67.1835,0.8511,0.0000
138,68.1276,0.8663,0.0000
139,70.5675,1.0521,0.0000
140,71.3714,1.2053,0.0000
141,77.2078,1.6029,0.0000
142,97.5624,1.5547,0.0000
143,99.0692,1.4484,0.0000
144,101.6801,0.0100,0.0000
145,102.2088,0.0117,0.0000
146,85.6272,1.6007,0.0000
147,77.2888,11.0143,0.0000
148,55.8172,26.3346,0.0000
149,33.1236,56.8958,0.0000
150,65.0802,2.8216,0.0139
151,64.5459,2.8685,0.0165
152,60.2082,9.5056,0.0000
153,51.1672,17.6988,0.0000
154,47.6796,34.7201,0.0000
155,55.3807,33.2535,0.0000
156,58.6331,19.1311,0.0000
157,27.8584,16.9410,0.0000
158,19.8890,37.8199,0.0000
159,9.7149,83.3108,0.0000
160,4.3873,99.2964,0.0000
161,2.4625,99.9896,0.0000
162,0.0073,100.0000,0.0000
163,0.0073,100.0000,0.0000
164,0.0066,100.0000,0.0000
165,0.0066,100.0000,0.0000
166,0.0066,100.0000,0.0000
167,0.0066,100.0000,0.0000
168,0.0066,100.0000,0.0000
169,4.5161,95.4865,0.0195
170,6.9701,93.1914,0.1289
171,7.2188,93.1467,0.1523
172,9.3498,91.2474,0.3876
173,11.7112,89.2856,0.6337
174,13.4172,87.6532,0.8537
175,15.2830,86.1871,1.1428
176,15.4207,86.1280,1.1858
177,17.6303,84.0195,1.5195
178,19.6542,81.9475,1.8229
179,21.1848,80.2318,1.9783
180,22.9241,78.3003,2.2674
181,22.7688,78.4831,2.2105
182,24.4271,76.7548,2.3954
183,26.4568,74.9601,2.5182
184,28.1564,73.0339,2.6771
185,32.9008,69.3177,3.2617
186,34.9479,66.6415,3.5981
187,41.7186,59.5634,4.1788
188,51.0498,56.0786,5.7222
189,63.3166,53.4865,6.8828
190,77.4945,51.4900,8.1063
191,87.7188,51.3885,8.3672
192,78.1394,28.6428,6.5113
193,83.2222,29.0082,6.8589
194,83.6780,29.1311,7.1176
195,88.2931,28.4041,8.9774
196,87.7299,28.6749,8.8307
197,98.1086,20.9696,7.3707
198,80.2366,33.7378,7.4740
199,80.8501,33.5039,7.5838
